"Memorie laptop Mushkin SODIMM 2GB DDR3, 1066MHz, CL7, Essentials",45.99,-1,1,https://www.vexio.ro/memorii-laptop/mushkin/9908-sodimm-2gb-ddr3-1066mhz-cl7-essentials/,991643,vexio,Laptop & Accesorii
"Folie discretie ecran Lenovo 0A61771, 15.6 inch",290.99,-1,1,https://www.vexio.ro/accesorii-laptop/lenovo/19471-folie-discretie-ecran-lenovo-0a61771-15-6-inch/,0A61771,vexio,Laptop & Accesorii
"Memorie laptop Corsair notebook 8GB, DDR3, 1066MHz, CL7 Dual...",232.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/24212-notebook-8gb-ddr3-1066mhz-cl7-dual-channel-kit-for-apple-mac/,CMSA8GX3M2A1066C7,vexio,Laptop & Accesorii
"Memorie laptop Corsair notebook Kit 2x4GB, DDR3, 1333MHz CL9 Dual...",226.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/24213-notebook-kit-2x4gb-ddr3-1333mhz-cl9-dual-channel-kit-for-apple-mac/,CMSA8GX3M2A1333C9,vexio,Laptop & Accesorii
"Husa AntiSoc Case Logic LAPS116K, pentru laptop, 15.6 inch, Negru",124.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/case-logic/37087-husa-antisoc-case-logic-laps116k-pentru-laptop-15-6-inch-negru/,LAPS116K,vexio,Laptop & Accesorii
"Husa AntiSoc Case Logic LAPS111K, pentru laptop, 11 inch, Negru",106.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/case-logic/37091-husa-antisoc-case-logic-laps111k-pentru-laptop-11-inch-negru/,LAPS111K,vexio,Laptop & Accesorii
"Memorie laptop Zeppelin SODIMM, 8GB, DDR3, 1333MHz, Bulk",50.99,-1,1,https://www.vexio.ro/memorii-laptop/zeppelin/44460-sodimm-8gb-ddr3-1333mhz-bulk/,ZE-SD3-8G1333,vexio,Laptop & Accesorii
"Memorie laptop Kingston KVR16S11S6/2, 2GB DDR3 1600MHz, SODIMM",64.71,-1,1,https://www.vexio.ro/memorii-laptop/kingston/54834-kvr16s11s6-2-2gb-ddr3-1600mhz-sodimm/,KVR16S11S6/2,vexio,Laptop & Accesorii
"Memorie laptop Corsair 8GB DDR3L SODIMM, 1600MHz Dual Channel",158.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/58714-8gb-ddr3l-sodimm-1600mhz-dual-channel/,CMSO8GX3M2C1600C11,vexio,Laptop & Accesorii
Dicota Rucsac notebook D30675 ECO 14-15.6 inch cu husa detasabila,220.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/dicota/66291-rucsac-notebook-d30675-eco-14-15-6-inch-cu-husa-detasabila/,D30675,vexio,Laptop & Accesorii
"Everki geanta notebook Advance Briefcase 14.1 inch, neagra",119.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/everki/70031-geanta-notebook-advance-briefcase-14-1-inch-neagra/,GLEKB407NCH14,vexio,Laptop & Accesorii
"ESPERANZA Cooling pad Tivano EA144, 2 ventilatoare",36.99,-1,1,https://www.vexio.ro/standuri-de-racire/esperanza/76127-cooling-pad-tivano-ea144-2-ventilatoare/,EA144 - 5901299904237,vexio,Laptop & Accesorii
"Memorie laptop Corsair Memorie RAM Value Select, SODIMM, DDR4, 8GB,...",110.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/79845-memorie-ram-value-select-sodimm-ddr4-8gb-2133-mhz-cl15-1-2v/,CMSO8GX4M1A2133C15,vexio,Laptop & Accesorii
"Targus Rucsac notebook TCG655EU, 14"", Negru/Gri",370.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/targus/83313-rucsac-notebook-tcg655eu-14-negru-gri/,TCG655EU,vexio,Laptop & Accesorii
"Memorie laptop Corsair Value Select, DDR4, 16GB, 2133 GHz, CL15, 1.2V",198.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/87023-value-select-ddr4-16gb-2133-ghz-cl15-1-2v/,CMSO16GX4M1A2133C15,vexio,Laptop & Accesorii
"Memorie laptop G.Skill GSkill Rip SO D4 F4-2133C15S-8GRS, 2133...",78.99,-1,1,https://www.vexio.ro/memorii-laptop/g-skill/121842-gskill-rip-so-d4-f4-2133c15s-8grs-2133-mhz-8gb-c15/,F4-2133C15S-8GRS,vexio,Laptop & Accesorii
"Memorie laptop Kingston Value Ram, DDR3, 8 GB, 1600 GHz, CL11,...",221.99,-1,1,https://www.vexio.ro/memorii-laptop/kingston/154706-value-ram-ddr3-8-gb-1600-ghz-cl11-1-35v-unbuffered-non-ecc-kit/,KVR16LS11K2/8,vexio,Laptop & Accesorii
Trust GXT 278 NOTEBOOK COOLING STAND up to 17.3,123.99,-1,1,https://www.vexio.ro/standuri-de-racire/trust/161676-gxt-278-notebook-cooling-stand-up-to-17-3/,20817,vexio,Laptop & Accesorii
"Natec Laptop BOXER Black 17,3'' | Anti-Shock System |",150.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/natec/181123-laptop-boxer-black-17-3-anti-shock-system/,NTO-0393,vexio,Laptop & Accesorii
ESPERANZA EA148 Lampa notebook cu LED-uri 10,15.99,-1,1,https://www.vexio.ro/accesorii-laptop/esperanza/182183-ea148-lampa-notebook-cu-led-uri-10/,EA148 - 5901299909126,vexio,Laptop & Accesorii
"ESPERANZA Stand notebook de racire 15,6""-17"" SAMUM EA141, Iluminate...",41.99,-1,1,https://www.vexio.ro/standuri-de-racire/esperanza/182239-stand-notebook-de-racire-15-6-17-samum-ea141-iluminate-fan/,EA141 - 5901299904206,vexio,Laptop & Accesorii
Memorie laptop Silicon Power DDR3 8GB 1600MHz CL11 SO-DIMM 1.5V,57.99,-1,1,https://www.vexio.ro/memorii-laptop/silicon-power/184147-ddr3-8gb-1600mhz-cl11-so-dimm-1-5v/,SP008GBSTU160N02,vexio,Laptop & Accesorii
SATECHI Aluminum Pro Hub Type-C 4K Space Grey,338.99,-1,1,https://www.vexio.ro/accesorii-laptop/satechi/212829-aluminum-pro-hub-type-c-4k-space-grey/,ST-CMBPM,vexio,Laptop & Accesorii
Targus Pulse 11.6-13.3'' Laptop Sleeve Black and Ebony,76.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/targus/213207-pulse-11-6-13-3-laptop-sleeve-black-and-ebony/,TSS94604EU,vexio,Laptop & Accesorii
Tracer Geanta notebook Balance 17 inch Black,76.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/tracer/213281-geanta-notebook-balance-17-inch-black/,TRATOR43467,vexio,Laptop & Accesorii
Thermaltake Massive 20 RGB,317.99,-1,1,https://www.vexio.ro/standuri-de-racire/thermaltake/234523-massive-20-rgb/,CL-N014-PL20SW-A,vexio,Laptop & Accesorii
Inter-Tech 120W external PSU for ITX series Q/E/SY/ITX,121.99,-1,1,https://www.vexio.ro/incarcatoare-laptop/inter-tech/234561-120w-external-psu-for-itx-series-q-e-sy-itx/,88882103,vexio,Laptop & Accesorii
Memorie laptop Corsair Vengeance 16GB DDR4 2400MHz CL16 1.2v,174.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/237815-vengeance-16gb-ddr4-2400mhz-cl16-1-2v/,CMSX16GX4M1A2400C16,vexio,Laptop & Accesorii
