"Memorie laptop Mushkin SODIMM 2GB DDR3, 1066MHz, CL7, Essentials",44.99,-1,1,https://www.vexio.ro/memorii-laptop/mushkin/9908-sodimm-2gb-ddr3-1066mhz-cl7-essentials/,991643
"Memorie laptop Corsair notebook 8GB, DDR3, 1066MHz, CL7 Dual...",238.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/24212-notebook-8gb-ddr3-1066mhz-cl7-dual-channel-kit-for-apple-mac/,CMSA8GX3M2A1066C7
"Memorie laptop Corsair notebook Kit 2x4GB, DDR3, 1333MHz CL9 Dual...",229.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/24213-notebook-kit-2x4gb-ddr3-1333mhz-cl9-dual-channel-kit-for-apple-mac/,CMSA8GX3M2A1333C9
"Memorie laptop Corsair Laptop SODIMM Mac DDR3, 16GB, 1333 MHz, Dual...",415.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/25135-laptop-sodimm-mac-ddr3-16gb-1333-mhz-dual-channel/,CMSA16GX3M2A1333C9
"Geanta notebook Asus Nereus 16 inch, neagra",63.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/asus/44434-geanta-notebook-asus-nereus-16-inch-neagra/,90-XB4000BA00010-
"Memorie laptop Zeppelin SODIMM, 8GB, DDR3, 1333MHz, Bulk",53.99,-1,1,https://www.vexio.ro/memorii-laptop/zeppelin/44460-sodimm-8gb-ddr3-1333mhz-bulk/,ZE-SD3-8G1333
"Memorie laptop Kingston KVR16S11S6/2, 2GB DDR3 1600MHz, SODIMM",65.63,-1,1,https://www.vexio.ro/memorii-laptop/kingston/54834-kvr16s11s6-2-2gb-ddr3-1600mhz-sodimm/,KVR16S11S6/2
"Memorie laptop Corsair 8GB DDR3L SODIMM, 1600MHz Dual Channel",161.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/58714-8gb-ddr3l-sodimm-1600mhz-dual-channel/,CMSO8GX3M2C1600C11
"Memorie laptop Corsair CMSA16GX3M2A1600C11 SODIMM pentru Mac, 2x8GB...",422.99,-1,1,https://www.vexio.ro/memorii-laptop/corsair/67704-cmsa16gx3m2a1600c11-sodimm-pentru-mac-2x8gb-ddr3-1600mhz-cl11/,CMSA16GX3M2A1600C11
"Everki geanta notebook Advance Briefcase 14.1 inch, neagra",119.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/everki/70031-geanta-notebook-advance-briefcase-14-1-inch-neagra/,GLEKB407NCH14
